interaction,result,free_energy,TP,FP,FN,TN,TPR,PPV,MCC
1,161,-387.18,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
1,162,-387.02,0.0,6.0,7.0,1853775.0,0.0,0.0,-3.4959571548254724e-06
1,163,-387.02,0.0,6.0,7.0,1853775.0,0.0,0.0,-3.4959571548254724e-06
1,164,-386.98,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
1,165,-386.98,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
1,166,-386.98,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,167,-386.98,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,168,-386.84,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,169,-386.75,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,170,-386.65,0.0,6.0,7.0,1853775.0,0.0,0.0,-3.4959571548254724e-06
1,171,-386.59,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,172,-386.57,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,173,-386.51,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,174,-386.44,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,175,-386.43,0.0,8.5,4.5,1853775.0,0.0,0.0,-3.3362391621828624e-06
1,176,-386.43,0.0,8.5,4.5,1853775.0,0.0,0.0,-3.3362391621828624e-06
1,177,-386.43,0.0,8.5,4.5,1853775.0,0.0,0.0,-3.3362391621828624e-06
1,178,-386.43,0.0,8.5,4.5,1853775.0,0.0,0.0,-3.3362391621828624e-06
1,179,-386.43,0.0,8.5,4.5,1853775.0,0.0,0.0,-3.3362391621828624e-06
1,180,-386.32,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,181,-386.3,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,182,-386.24,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,183,-386.24,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,184,-386.24,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,185,-386.24,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,186,-386.24,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,187,-386.24,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,188,-386.13,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,189,-386.1,0.0,8.5,4.5,1853775.0,0.0,0.0,-3.3362391621828624e-06
1,190,-386.1,0.0,8.5,4.5,1853775.0,0.0,0.0,-3.3362391621828624e-06
1,191,-386.06,0.0,6.0,7.0,1853775.0,0.0,0.0,-3.4959571548254724e-06
1,192,-386.03,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,193,-386.03,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,194,-386.03,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,195,-386.02,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,196,-386.02,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
1,197,-385.75,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,198,-385.75,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,199,-385.75,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,200,-385.75,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,201,-385.75,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,202,-385.75,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,203,-385.73,0.0,8.5,4.5,1853775.0,0.0,0.0,-3.3362391621828624e-06
1,204,-385.66,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,205,-385.66,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,206,-385.66,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,207,-385.66,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
